Created by PLY version 3.11 (http://www.dabeaz.com/ply)

Unused terminals:

    COMMENT
    MULTILINE_COMMENT

Grammar

Rule 0     S' -> main
Rule 1     main -> MAIN LBRACE declarations statements RBRACE
Rule 2     declarations -> declarations declaration
Rule 3     declarations -> empty
Rule 4     declaration -> INT var_list SEMICOLON
Rule 5     declaration -> FLOAT var_list SEMICOLON
Rule 6     declaration -> BOOL var_list SEMICOLON
Rule 7     var_list -> var_list COMMA IDENTIFIER
Rule 8     var_list -> IDENTIFIER
Rule 9     do_until_statement -> DO LBRACE statements RBRACE UNTIL LPAREN condition RPAREN SEMICOLON
Rule 10    statements -> statements statement
Rule 11    statements -> empty
Rule 12    statement -> assignment
Rule 13    statement -> if_statement
Rule 14    statement -> write_statement
Rule 15    statement -> do_statement
Rule 16    statement -> while_statement
Rule 17    statement -> do_until_statement
Rule 18    assignment -> IDENTIFIER ASSIGN expression SEMICOLON
Rule 19    if_statement -> IF LPAREN condition RPAREN THEN LBRACE statements RBRACE ELSE LBRACE statements RBRACE FI
Rule 20    if_statement -> IF LPAREN condition RPAREN THEN LBRACE statements RBRACE FI
Rule 21    write_statement -> WRITE LPAREN expression RPAREN SEMICOLON
Rule 22    write_statement -> WRITE LPAREN STRING RPAREN SEMICOLON
Rule 23    do_statement -> DO LBRACE statements RBRACE WHILE LPAREN condition RPAREN SEMICOLON
Rule 24    while_statement -> WHILE LPAREN condition RPAREN LBRACE statements RBRACE
Rule 25    expression -> expression PLUS term
Rule 26    expression -> expression MINUS term
Rule 27    expression -> term
Rule 28    term -> term TIMES factor
Rule 29    term -> term DIVIDE factor
Rule 30    term -> factor
Rule 31    factor -> LPAREN expression RPAREN
Rule 32    factor -> NUMBER
Rule 33    factor -> FLOAT_NUMBER
Rule 34    factor -> IDENTIFIER
Rule 35    factor -> BOOL_VALUE
Rule 36    condition -> expression EQUALS expression
Rule 37    condition -> expression NOTEQUALS expression
Rule 38    condition -> expression LESS expression
Rule 39    condition -> expression LESSEQUAL expression
Rule 40    condition -> expression GREATER expression
Rule 41    condition -> expression GREATEREQUAL expression
Rule 42    condition -> expression AND expression
Rule 43    condition -> expression OR expression
Rule 44    empty -> <empty>
Rule 45    expression -> expression PLUS empty
Rule 46    expression -> expression MINUS empty

Terminals, with rules where they appear

AND                  : 42
ASSIGN               : 18
BOOL                 : 6
BOOL_VALUE           : 35
COMMA                : 7
COMMENT              : 
DIVIDE               : 29
DO                   : 9 23
ELSE                 : 19
EQUALS               : 36
FI                   : 19 20
FLOAT                : 5
FLOAT_NUMBER         : 33
GREATER              : 40
GREATEREQUAL         : 41
IDENTIFIER           : 7 8 18 34
IF                   : 19 20
INT                  : 4
LBRACE               : 1 9 19 19 20 23 24
LESS                 : 38
LESSEQUAL            : 39
LPAREN               : 9 19 20 21 22 23 24 31
MAIN                 : 1
MINUS                : 26 46
MULTILINE_COMMENT    : 
NOTEQUALS            : 37
NUMBER               : 32
OR                   : 43
PLUS                 : 25 45
RBRACE               : 1 9 19 19 20 23 24
RPAREN               : 9 19 20 21 22 23 24 31
SEMICOLON            : 4 5 6 9 18 21 22 23
THEN                 : 19 20
TIMES                : 28
UNTIL                : 9
WHILE                : 23 24
WRITE                : 21 22
error                : 

Nonterminals, with rules where they appear

STRING               : 22
assignment           : 12
condition            : 9 19 20 23 24
declaration          : 2
declarations         : 1 2
do_statement         : 15
do_until_statement   : 17
empty                : 3 11 45 46
expression           : 18 21 25 26 31 36 36 37 37 38 38 39 39 40 40 41 41 42 42 43 43 45 46
factor               : 28 29 30
if_statement         : 13
main                 : 0
statement            : 10
statements           : 1 9 10 19 19 20 23 24
term                 : 25 26 27 28 29
var_list             : 4 5 6 7
while_statement      : 16
write_statement      : 14

